Title,Note,URL,Comment
Landgoed Duindigt,,https://www.google.com/maps/place/Landgoed+Duindigt/data=!4m2!3m1!1s0x47c5b7823aad817b:0xe7b57212489ddeef,
"Wilhelminapark, Rijswijk",,"https://www.google.com/maps/place/Wilhelminapark,+Rijswijk/data=!4m2!3m1!1s0x47c5b429e6a3b9c1:0x35a6ea3a76b539ca",
Madestein,,https://www.google.com/maps/place/Madestein/data=!4m2!3m1!1s0x47c5b19a9779def5:0x955b04221077c457,
Watergangseweg 40,,https://www.google.com/maps/place/Watergangseweg+40/data=!4m2!3m1!1s0x47c608e698b0ab0b:0x9eed85f833c7aabe,
C&A,,https://www.google.com/maps/place/C%26A/data=!4m2!3m1!1s0x40b1f8cf7edcf6a7:0x5a487534e85aa846,
H&M,,https://www.google.com/maps/place/H%26M/data=!4m2!3m1!1s0x40b1ff1642fa5cef:0x143ba07d3ce45222,
epiesa.ro Eminescu,,https://www.google.com/maps/place/epiesa.ro+Eminescu/data=!4m2!3m1!1s0x40b1ff4acb42e72b:0x194564f0dc9551bd,
Interbellico,,https://www.google.com/maps/place/Interbellico/data=!4m2!3m1!1s0x40b1ff35e00dae99:0xae8b28e6e42c3524,
The Society Shop,,https://www.google.com/maps/place/The+Society+Shop/data=!4m2!3m1!1s0x47c609e50812a7b3:0xdaefe5ada18b065e,
Nieuwe Church,,https://www.google.com/maps/place/Nieuwe+Church/data=!4m2!3m1!1s0x47c5b5c25c9ba869:0xe90425f70920bac9,
Loge Silentium,,https://www.google.com/maps/place/Loge+Silentium/data=!4m2!3m1!1s0x47c5b5c30c9fa291:0x6d6b885a6f6afb1b,
